"gpa8","gpa8_centered","itt","took_es","female","black","hispanic","asian","white","sped","attend8","ever_susp","ell","gpa9","attend9","credits9"
3.322575068288,1.322575068288,0,0,1,0,1,1,-1,0,98.0301300155739,0,0,3.29775561795836,97.8411580930387,52.3813507335758
2.16118109716235,0.161181097162347,0,0,0,0,0,0,1,1,97.5638294710263,0,0,2.63874998180202,91.8999901648626,53.2406627078737
2.5,0.5,0,0,1,0,1,0,0,0,97.2739565405196,0,0,3.17890184703851,92.2117483358484,45.6826646771554
2.87971756297662,0.879717562976624,0,0,1,0,0,0,1,0,95.9235120412563,0,0,2.82790329503645,100,57.4812870234985
2.7425609938846,0.7425609938846,0,0,1,0,0,1,0,0,98.5777683560892,0,1,2.97567596748068,95.1565742647509,38.4220267562498
2.5,0.5,0,0,0,0,0,1,0,0,100,0,0,3.10791553299937,94.9130973780861,55.9681851372989
3.40691319846336,1.40691319846336,0,0,0,0,0,0,1,0,93.2168207856893,0,0,3.28756661462524,93.0306653437513,56.0520945443525
2.44320457695214,0.443204576952141,0,0,1,0,0,0,1,0,95.667202961232,0,1,3.24753331154249,92.6191356152831,37.6153897043048
3.5,1.5,0,0,0,0,0,1,0,0,98.0079069319361,0,0,3.97306355724565,96.0361877012708,59.2022604044643
2.46237154056855,0.462371540568547,0,0,0,0,0,1,0,0,94.8974792045678,0,0,2.57138911566414,96.1729544382196,47.4721999154278
3.5,1.5,0,1,0,0,0,1,0,1,99.9043595707041,0,1,4,100,80
3.87198723562066,1.87198723562066,0,0,0,0,1,0,0,0,97.3457593541042,0,0,3.39687826785552,98.398409768816,58.7527831898959
1.6666835793326,-0.333316420667404,1,0,0,0,0,1,0,0,98.5645983120833,0,1,2.8085450802016,97.6213981673205,54.1218647174288
2.33272673990958,0.332726739909577,0,0,1,0,0,1,0,0,93.9852528603162,0,0,2.85901075752551,87.6740675825433,48.9555379322472
2.42000719816381,0.420007198163805,0,0,0,0,0,1,0,0,95.9074928025904,0,0,3.1529632296856,94.8321712836922,47.285923043696
2.88157023884204,0.881570238842045,0,0,1,0,0,0,1,0,93.8836160554671,0,0,3.55451307725421,96.3030052033215,49.6426696907248
2.5,0.5,0,0,1,0,0,1,0,0,94.4663273863503,0,1,3.01655868256156,94.6981945596112,52.5154392723217
1.25,-0.75,1,0,0,0,1,0,0,0,94.0525621632377,0,0,2.09904189388152,96.1823267176862,41.1307368859938
1.25,-0.75,1,1,0,0,0,1,0,0,94.8014391146007,0,0,4,100,73.7427131714128
3.29206800743812,1.29206800743812,0,0,1,0,0,0,1,1,100,0,0,3.80534280906405,100,54.642567313222
2.31601684355292,0.316016843552915,0,0,1,0,0,0,1,0,97.6479251819907,0,0,3.29472637548375,100,55.2181340112487
1.431214939612,-0.568785060388,1,0,0,0,0,1,0,1,95.7123076907764,0,0,2.36244441839354,87.0478828245215,46.9649525591938
2.39684958654423,0.396849586544227,0,1,1,0,0,0,1,0,100,0,1,4,100,76.0808722923101
3.22880481950356,1.22880481950356,0,0,0,0,0,0,1,0,100,0,1,2.77768344619296,96.8639349407338,58.7898784442154
3.63711607675898,1.63711607675898,0,0,1,0,0,1,0,0,97.0405124441405,0,0,3.38965794267081,100,59.902746707624
2.24171852103628,0.24171852103628,0,0,0,1,0,1,-1,0,89.8741317211831,0,1,2.90851762226327,90.7694684015949,60.4972705079204
2.34563837033864,0.345638370338642,0,0,1,0,1,1,-1,0,93.2349493485077,0,0,2.41572114985184,90.1996513332897,39.9526134189361
1.44210214888313,-0.557897851116868,1,0,1,0,1,1,-1,0,99.2117425726068,0,0,2.63024731048206,92.4445377698856,41.2109847965073
2.77605841289876,0.776058412898763,0,0,0,0,0,1,0,0,99.4688371443065,0,1,3.3723177782716,94.9693777604116,42.7034163684124
2.11600307442393,0.116003074423928,0,0,1,0,0,0,1,0,94.5795937826104,0,0,2.73589882722914,95.4556339385824,46.5614711759442
2.77327007394473,0.773270073944732,0,0,0,0,0,1,0,0,91.8427523697156,0,0,3.23562588098824,92.2893732624095,53.5339708864488
3,1,0,0,0,0,1,0,0,0,100,0,0,3.33056284937856,98.6679418002314,54.2658532895428
3.12106211318195,1.12106211318195,0,1,0,0,0,1,0,0,100,0,0,4,100,68.6011005744196
2.13464417475567,0.134644174755673,0,0,0,0,1,1,-1,0,99.3065681929686,0,0,2.20428014829832,99.039791782518,53.7226699936831
3,1,0,0,0,0,0,1,0,0,100,0,1,3.06079219679655,95.0920920173275,49.1049052719857
1.46979479255599,-0.530205207444006,1,0,0,0,0,1,0,0,99.3367151543925,0,0,2.46416286160654,90.8497846312171,48.5974590560243
2.0293245949723,0.029324594972302,0,0,0,0,0,0,1,0,95.5522218582951,0,1,2.48868585023297,93.7571043022705,43.9812331395738
2,0,0,0,1,0,0,1,0,0,96.2567162723795,0,0,2.66445819759029,95.4066581474515,44.4572490179931
1.25,-0.75,1,0,0,0,0,0,1,1,94.5761015918937,0,0,2.69851841514064,89.9113944712154,41.8053843716385
2.52167356413535,0.521673564135353,0,0,1,0,0,1,0,0,98.8927096973611,0,0,2.77225895302793,93.2941067237495,51.0523276278134
2.62359916012015,0.623599160120152,0,0,1,0,1,1,-1,0,99.0396255008393,0,0,2.75361646433955,97.037528146672,51.2141944995232
2.2833656208708,0.2833656208708,0,0,0,0,0,1,0,0,97.4246488904686,0,1,2.50812744173734,95.3553462173739,45.2472167901394
2.95489794141971,0.95489794141971,0,0,0,0,0,1,0,0,94.6709587109865,0,0,2.94705452530745,94.7855719147659,49.4365304764978
2.06397710375406,0.0639771037540551,0,0,0,0,0,0,1,0,97.631073555932,0,1,2.07773075829011,93.4009068342311,49.7225393473376
1.67903137334842,-0.320968626651577,1,1,0,0,0,0,1,0,96.9602250973154,0,0,4,100,69.7172608350394
3,1,0,0,1,0,1,1,-1,0,97.3823530851948,0,1,2.81643203999335,98.6389203675622,46.7003338966731
